ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Šolski center Slovenske Konjice - Zreče,"Šolski center Slovenske Konjice - Zreče, Gimnazija Slovenske Konjice",Savinjska,Slovenske Konjice,2020-10-03,2020-10-12,2020-10-04,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Vodice,Osnovna šola Vodice,Osrednjeslovenska,Vodice,2020-10-03,2020-10-08,2020-10-04,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Muta,"Osnovna šola Muta, VVE Muta",Koroška,Muta,2020-09-25,2020-10-02,2020-10-04,VRTEC,Okužba s Covid-19,srednje,2020_40
Vrtec Čebelica Šentjernej,Vrtec Čebelica Šentjernej,Jugovzhodna Slovenija,Šentjernej,2020-10-03,2020-10-13,2020-10-04,VRTEC,Sum na okužbo,srednje,2020_40
Osnovna šola Toneta Čufarja Jesenice,Osnovna šola Toneta Čufarja Jesenice,Gorenjska,Jesenice,2020-10-04,2020-10-14,2020-10-04,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Janka Padežnika Maribor,Osnovna šola Janka Padežnika Maribor,Podravska,Maribor,2020-10-04,2020-10-11,2020-10-04,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_40
Vrtec Vrhovci,"Vrtec Vrhovci, enota Vrhovci",Osrednjeslovenska,Ljubljana,2020-09-28,2020-10-07,2020-10-04,VRTEC,Okužba s Covid-19,srednje,2020_40
Osnovna šola Majde Vrhovnik Ljubljana,Osnovna šola Majde Vrhovnik Ljubljana,Osrednjeslovenska,Ljubljana,2020-09-29,2020-10-08,2020-10-04,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Mihe Pintarja - Toleda Velenje,Osnovna šola Mihe Pintarja - Toleda Velenje,Savinjska,Velenje,2020-10-01,2020-10-12,2020-10-04,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_40
Vrtec Vrhovci,"Vrtec Vrhovci, enota Tehnološki park",Osrednjeslovenska,Ljubljana,2020-09-28,2020-10-07,2020-10-04,VRTEC,Okužba s Covid-19,srednje,2020_40
Vrtec Vrhovci,"Vrtec Vrhovci, enota Rožnik",Osrednjeslovenska,Ljubljana,2020-09-29,2020-10-08,2020-10-04,VRTEC,Sum na okužbo,srednje,2020_40
Osnovna šola Cvetka Golarja Škofja Loka,Osnovna šola Cvetka Golarja Škofja Loka Podružnica Reteče,Gorenjska,Škofja Loka,2020-10-01,2020-10-10,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Martina Konšaka Maribor,Osnovna šola Martina Konšaka Maribor,Podravska,Maribor,2020-10-02,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Biotehniški center Naklo,"Biotehniški center Naklo, Srednja šola",Gorenjska,Naklo,2020-10-03,2020-10-18,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,dolgo,2020_41
Gimnazija Ptuj,Gimnazija Ptuj,Podravska,Ptuj,2020-10-04,2020-10-14,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Rače,Osnovna šola Rače,Podravska,Rače-Fram,2020-09-28,2020-10-02,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Vodice,Osnovna šola Vodice,Osrednjeslovenska,Vodice,2020-10-04,2020-10-08,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota CICIBAN",Jugovzhodna Slovenija,Novo mesto,2020-10-01,2020-10-10,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Gimnazija Litija,Gimnazija Litija,Zasavska,Litija,2020-10-05,2020-10-08,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Srednja šola Josipa Jurčiča Ivančna Gorica,Srednja šola Josipa Jurčiča Ivančna Gorica,Osrednjeslovenska,Ivančna Gorica,2020-10-02,2020-10-11,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Konservatorij za glasbo in balet Maribor,"Konservatorij za glasbo in balet Maribor, enota v podr. šoli Tabor",Podravska,Maribor,2020-10-04,2020-10-08,2020-10-05,GLASBENA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Rače,Osnovna šola Rače,Podravska,Rače-Fram,2020-09-25,2020-10-06,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
III. gimnazija Maribor,III. gimnazija Maribor,Podravska,Maribor,2020-10-05,2020-10-12,2020-10-05,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_41
III. gimnazija Maribor,III. gimnazija Maribor,Podravska,Maribor,2020-10-05,2020-10-12,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Selnica ob Dravi,Osnovna šola Selnica ob Dravi,Podravska,Selnica ob Dravi,2020-10-02,2020-10-12,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Pohorskega odreda Slovenska Bistrica,Osnovna šola Pohorskega odreda Slovenska Bistrica,Podravska,Slovenska Bistrica,2020-10-04,2020-10-10,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
"Srednja šola za farmacijo, kozmetiko in zdravstvo","Srednja šola za farmacijo, kozmetiko in zdravstvo",Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-10,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
"Srednja šola za farmacijo, kozmetiko in zdravstvo","Srednja šola za farmacijo, kozmetiko in zdravstvo",Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-12,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Šolski center Celje,"Šolski center Celje, Srednja šola za kemijo, elektrotehniko in računalništvo",Savinjska,Celje,2020-09-24,2020-10-11,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,dolgo,2020_41
"Srednja šola za farmacijo, kozmetiko in zdravstvo","Srednja šola za farmacijo, kozmetiko in zdravstvo",Osrednjeslovenska,Ljubljana,2020-09-16,2020-09-30,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,dolgo,2020_41
Osnovna šola Dramlje,Osnovna šola Dramlje,Savinjska,Šentjur,2020-10-05,2020-10-09,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Glasbena šola Radovljica,Glasbena šola Radovljica,Gorenjska,Radovljica,2020-09-29,2020-10-05,2020-10-05,GLASBENA ŠOLA,Sum na okužbo,kratko,2020_41
Gimnazija Franceta Prešerna,Gimnazija Franceta Prešerna,Gorenjska,Kranj,2020-10-05,2020-10-16,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Vrtec Krško,"Vrtec Krško, enota Ciciban",Posavska,Krško,2020-09-28,2020-10-05,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Osnovna šola Danila Lokarja Ajdovščina,Osnovna šola Danila Lokarja Ajdovščina,Goriška,Ajdovščina,2020-09-30,2020-10-04,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Srednja gostinska in turistična šola Radovljica,Srednja gostinska in turistična šola Radovljica,Gorenjska,Radovljica,2020-10-01,2020-10-10,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Srednja gostinska in turistična šola Radovljica,Srednja gostinska in turistična šola Radovljica,Gorenjska,Radovljica,2020-10-03,2020-10-13,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
OTROŠKI VRTEC METLIKA,OTROŠKI VRTEC METLIKA,Jugovzhodna Slovenija,Metlika,2020-10-05,2020-10-05,2020-10-05,VRTEC,Okužba s Covid-19,kratko,2020_41
Osnovna šola Oskarja Kovačiča,Osnovna šola Oskarja Kovačiča,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-10,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
OTROŠKI VRTEC METLIKA,OTROŠKI VRTEC METLIKA,Jugovzhodna Slovenija,Metlika,2020-10-03,2020-10-12,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Srednja gostinska in turistična šola Radovljica,Srednja gostinska in turistična šola Radovljica,Gorenjska,Radovljica,2020-09-30,2020-10-09,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Toma Brejca Kamnik,Osnovna šola Toma Brejca Kamnik,Osrednjeslovenska,Kamnik,2020-10-02,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Leskovec pri Krškem,Osnovna šola Leskovec pri Krškem,Posavska,Krško,2020-10-05,2020-10-15,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Dušana Flisa Hoče,"Osnovna šola Dušana Flisa Hoče, VVE Hoče",Podravska,Hoče-Slivnica,2020-10-03,2020-10-13,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Šolski center Novo mesto,"Šolski center Novo mesto, Srednja elektro šola in tehniška gimnazija",Jugovzhodna Slovenija,Novo mesto,2020-10-02,2020-10-16,2020-10-05,SREDNJA ŠOLA,Okužba s Covid-19,dolgo,2020_41
Osnovna šola Vavta vas,Osnovna šola Vavta vas,Jugovzhodna Slovenija,Straža,2020-10-04,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
"Srednja šola za farmacijo, kozmetiko in zdravstvo","Srednja šola za farmacijo, kozmetiko in zdravstvo",Osrednjeslovenska,Ljubljana,2020-09-28,2020-09-29,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
"Srednja šola za farmacijo, kozmetiko in zdravstvo","Srednja šola za farmacijo, kozmetiko in zdravstvo",Osrednjeslovenska,Ljubljana,2020-09-28,2020-10-02,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Cvetka Golarja Škofja Loka,Osnovna šola Cvetka Golarja Škofja Loka,Gorenjska,Škofja Loka,2020-10-02,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Podčetrtek,Osnovna šola Podčetrtek,Savinjska,Podčetrtek,2020-10-02,2020-10-07,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Glasbena šola Škofja Loka,Glasbena šola Škofja Loka,Gorenjska,Škofja Loka,2020-09-30,2020-10-09,2020-10-05,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Dušana Flisa Hoče,Osnovna šola Dušana Flisa Hoče,Podravska,Hoče-Slivnica,2020-10-03,2020-10-12,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Zreče,Osnovna šola Zreče,Savinjska,Zreče,2020-10-03,2020-10-13,2020-10-05,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_41
Osnovna šola Miklavž na Dravskem polju,Osnovna šola Miklavž na Dravskem polju Podružnica Dobrovce,Podravska,Miklavž na Dravskem polju,2020-10-05,2020-10-15,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Komenda Moste,Osnovna šola Komenda Moste,Osrednjeslovenska,Komenda,2020-10-05,2020-10-12,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Šmarje pri Jelšah,Osnovna šola Šmarje pri Jelšah Podružnica Zibika,Savinjska,Šmarje pri Jelšah,2020-09-30,2020-10-02,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Franja Malgaja Šentjur,Osnovna šola Franja Malgaja Šentjur,Savinjska,Šentjur,2020-09-30,2020-10-09,2020-10-05,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_41
Osnovna šola Metlika,Osnovna šola Metlika,Jugovzhodna Slovenija,Metlika,2020-10-05,2020-10-15,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Sava Kladnika Sevnica,Osnovna šola Sava Kladnika Sevnica,Posavska,Sevnica,2020-10-01,2020-10-14,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Markovci,Osnovna šola Markovci,Podravska,Markovci,2020-10-05,2020-10-09,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Zreče,Osnovna šola Zreče,Savinjska,Zreče,2020-10-04,2020-10-13,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Markovci,"Osnovna šola Markovci, Enota Vrtec",Podravska,Markovci,2020-10-05,2020-10-09,2020-10-05,VRTEC,Sum na okužbo,kratko,2020_41
Osnovna šola Selnica ob Dravi,Osnovna šola Selnica ob Dravi,Podravska,Selnica ob Dravi,2020-10-03,2020-10-06,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
"VRTEC TEZNO- UPRAVA , ENOTA MIŠMAŠ",VRTEC TEZNO ENOTA LUPINICA VRTEC IN JASLI,Podravska,Maribor,2020-10-03,2020-10-12,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Zasebna glasbena šola v samostanu sv. Petra in Pavla,Zasebna glasbena šola v samostanu sv. Petra in Pavla,Podravska,Ptuj,2020-10-05,2020-10-09,2020-10-05,GLASBENA ŠOLA,Sum na okužbo,kratko,2020_41
Gimnazija Vič,Gimnazija Vič,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-15,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Dobrova,Osnovna šola Dobrova,Osrednjeslovenska,Dobrova-Polhov Gradec,2020-10-04,2020-10-10,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Dobrova,Osnovna šola Dobrova,Osrednjeslovenska,Dobrova-Polhov Gradec,2020-10-03,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Selnica ob Dravi,Osnovna šola Selnica ob Dravi,Podravska,Selnica ob Dravi,2020-10-05,2020-10-09,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Glasbena šola Slovenska Bistrica,Glasbena šola Slovenska Bistrica,Podravska,Slovenska Bistrica,2020-10-03,2020-10-09,2020-10-05,GLASBENA ŠOLA,Okužba s Covid-19,kratko,2020_41
Osnovna šola Koroška Bela Jesenice,Osnovna šola Koroška Bela Jesenice,Gorenjska,Jesenice,2020-10-05,2020-10-10,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Glasbena šola Radovljica,Glasbena šola Radovljica,Gorenjska,Radovljica,2020-09-29,2020-10-05,2020-10-05,GLASBENA ŠOLA,Okužba s Covid-19,kratko,2020_41
Osnovna šola Poljane,"Osnovna šola Poljane, Podružnična šola Javorje",Gorenjska,Gorenja vas-Poljane,2020-09-30,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Ljubno ob Savinji,"Osnovna šola Ljubno ob Savinji, Enota Vrtec pri šoli, Vrtec Ljubno ob Savinji",Savinjska,Ljubno,2020-10-05,2020-10-15,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Osnovna šola Ledina,Osnovna šola Ledina,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-15,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Ledina,Osnovna šola Ledina,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-15,2020-10-05,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_41
Osnovna šola Ledina,Osnovna šola Ledina,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-09,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Glasbena šola Celje,Glasbena šola Celje,Savinjska,Celje,2020-09-30,2020-10-09,2020-10-05,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Dušana Flisa Hoče,Osnovna šola Dušana Flisa Hoče,Podravska,Hoče-Slivnica,2020-10-05,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Srednja zdravstvena in kozmetična šola Celje,Srednja zdravstvena in kozmetična šola Celje,Savinjska,Celje,2020-10-03,2020-10-12,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Gimnazija in srednja šola Rudolfa Maistra Kamnik,Gimnazija in srednja šola Rudolfa Maistra Kamnik,Osrednjeslovenska,Kamnik,2020-10-05,2020-10-08,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Gimnazija in srednja šola Rudolfa Maistra Kamnik,Gimnazija in srednja šola Rudolfa Maistra Kamnik,Osrednjeslovenska,Kamnik,2020-10-05,2020-10-09,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Poljane,Osnovna šola Poljane,Gorenjska,Gorenja vas-Poljane,2020-10-03,2020-10-14,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Gimnazija in srednja šola Rudolfa Maistra Kamnik,Gimnazija in srednja šola Rudolfa Maistra Kamnik,Osrednjeslovenska,Kamnik,2020-10-05,2020-10-12,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Žiri,Osnovna šola Žiri,Gorenjska,Žiri,2020-10-05,2020-10-10,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Dušana Flisa Hoče,Osnovna šola Dušana Flisa Hoče,Podravska,Hoče-Slivnica,2020-10-05,2020-10-14,2020-10-05,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_41
Glasbena šola Hrastnik,Glasbena šola Hrastnik,Zasavska,Hrastnik,2020-10-02,2020-10-12,2020-10-05,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Vodmat,Osnovna šola Vodmat,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-09,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Zasebni vrtec Viljem Julijan,Zasebni vrtec Viljem Julijan,Savinjska,Šentjur,2020-10-01,2020-10-10,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Srednja zdravstvena šola Murska Sobota,Srednja zdravstvena šola Murska Sobota,Pomurska,Murska Sobota,2020-10-05,2020-10-07,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Komenda Moste,Osnovna šola Komenda Moste Podružnica Moste,Osrednjeslovenska,Komenda,2020-10-02,2020-10-10,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Gimnazija Celje - Center,Gimnazija Celje - Center,Savinjska,Celje,2020-10-02,2020-10-02,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Dušana Flisa Hoče,Osnovna šola Dušana Flisa Hoče,Podravska,Hoče-Slivnica,2020-10-05,2020-10-12,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Gimnazija Franceta Prešerna,Gimnazija Franceta Prešerna,Gorenjska,Kranj,2020-10-05,2020-10-10,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Log - Dragomer,Osnovna šola Log - Dragomer,Osrednjeslovenska,Log-Dragomer,2020-09-28,2020-10-08,2020-10-05,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_41
Gimnazija Franceta Prešerna,Gimnazija Franceta Prešerna,Gorenjska,Kranj,2020-10-03,2020-10-10,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Draga Bajca Vipava,Osnovna šola Draga Bajca Vipava,Goriška,Vipava,2020-10-05,2020-10-18,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Draga Bajca Vipava,Osnovna šola Draga Bajca Vipava,Goriška,Vipava,2020-10-05,2020-10-07,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Glasbena šola Marjana Kozine Novo mesto,Glasbena šola Marjana Kozine Novo mesto,Jugovzhodna Slovenija,Novo mesto,2020-10-01,2020-10-10,2020-10-05,GLASBENA ŠOLA,Okužba s Covid-19,srednje,2020_41
Osnovna šola Zadobrova,Osnovna šola Zadobrova,Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-13,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Zadobrova,Osnovna šola Zadobrova,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Gimnazija Franceta Prešerna,Gimnazija Franceta Prešerna,Gorenjska,Kranj,2020-10-04,2020-10-11,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Škofja Loka - Mesto,Osnovna šola Škofja Loka - Mesto,Gorenjska,Škofja Loka,2020-10-05,2020-10-12,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Vrtec Jesenice,Vrtec Jesenice,Gorenjska,Jesenice,2020-10-02,2020-10-12,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Gimnazija Šentvid,Gimnazija Šentvid,Osrednjeslovenska,Ljubljana,2020-10-04,2020-10-09,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola Spodnja Šiška,Osnovna šola Spodnja Šiška,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_41
Osnovna šola Otočec,Osnovna šola Otočec,Jugovzhodna Slovenija,Novo mesto,2020-10-05,2020-10-10,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Srednja tehniška šola Koper,Srednja tehniška šola Koper,Obalno-kraška,Koper,2020-09-29,2020-10-08,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Gimnazija Šentvid,Gimnazija Šentvid,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-12,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Vrtec Jesenice,Vrtec Jesenice,Gorenjska,Jesenice,2020-09-28,2020-10-07,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Osnovna šola Veržej,Osnovna šola Veržej,Pomurska,Veržej,2020-10-03,2020-10-13,2020-10-05,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_41
Osnovna šola Zadobrova,Osnovna šola Zadobrova,Osrednjeslovenska,Ljubljana,2020-09-30,2020-10-14,2020-10-05,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2020_41
Gimnazija Nova Gorica,Gimnazija Nova Gorica,Goriška,Nova Gorica,2020-09-29,2020-10-10,2020-10-05,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_41
Osnovna šola Šenčur,Osnovna šola Šenčur,Gorenjska,Šenčur,2020-10-04,2020-10-13,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Rodica,Osnovna šola Rodica,Osrednjeslovenska,Domžale,2020-10-05,2020-10-13,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2020-10-05,2020-10-12,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Gimnazija Šentvid,Gimnazija Šentvid,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-09,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,"Osnovna šola dr. Janeza Mencingerja Boh. Bistrica, Podružnična šola Srednja vas",Gorenjska,Bohinj,2020-10-05,2020-10-19,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_41
Osnovna šola Ketteja in Murna,Osnovna šola Ketteja in Murna,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-08,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Šolski center Slovenj Gradec,"Šolski center Slovenj Gradec, Srednja zdravstvena šola",Koroška,Slovenj Gradec,2020-10-05,2020-10-15,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Vrtec Jesenice,"Vrtec Jesenice, VVE Angelce Ocepek",Gorenjska,Jesenice,2020-10-02,2020-10-12,2020-10-05,VRTEC,Sum na okužbo,srednje,2020_41
Strokovno izobraževalni center Brežice,"Strokovno izobraževalni center Brežice, Srednja šola",Posavska,Brežice,2020-10-05,2020-10-08,2020-10-05,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_41
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Gorenjska,Bohinj,2020-10-05,2020-10-18,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2020-10-01,2020-10-11,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Louisa Adamiča Grosuplje,Osnovna šola Louisa Adamiča Grosuplje,Osrednjeslovenska,Grosuplje,2020-10-05,2020-10-09,2020-10-05,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_41
Gimnazija Novo mesto,Gimnazija Novo mesto,Jugovzhodna Slovenija,Novo mesto,2020-10-05,2020-10-12,2020-10-06,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_41
Šolski center Srečka Kosovela Sežana,"Šolski center Srečka Kosovela Sežana, Gimnazija in ekonomska šola",Obalno-kraška,Sežana,2020-10-06,2020-10-15,2020-10-06,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Miroslava Vilharja Postojna,Osnovna šola Miroslava Vilharja Postojna,Primorsko-notranjska,Postojna,2020-09-15,2020-10-05,2020-10-06,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_41
Osnovna šola Matije Čopa Kranj,Osnovna šola Matije Čopa Kranj,Gorenjska,Kranj,2020-10-05,2020-10-15,2020-10-06,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_41
Zavod sv. Stanislava,"Zavod sv. Stanislava, Škofijska klasična gimnazija",Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-16,2020-10-06,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_41
Zavod sv. Stanislava,"Zavod sv. Stanislava, Škofijska klasična gimnazija",Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-14,2020-10-06,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_41
Osnovna šola Neznanih talcev Dravograd,Osnovna šola Neznanih talcev Dravograd,Koroška,Dravograd,2020-10-06,2020-10-13,2020-10-06,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
Osnovna šola Breg,Osnovna šola Breg,Podravska,Ptuj,2020-10-06,2020-10-16,2020-10-06,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_41
